[20-01-16 AM 12:45:49] update_rakuten_products_start
[20-01-16 AM 12:46:25] 	error in: 409165 page_not_found
[20-01-16 AM 12:55:47] 	error in: 567679 page_not_found
[20-01-16 AM 12:55:47] 	error in: 567679 page_not_found
[20-01-16 AM 12:55:54] 	error in: 201514 page_not_found
[20-01-16 AM 12:55:54] 	error in: 566805 page_not_found
[20-01-16 AM 12:55:57] 	error in: 566734 page_not_found
[20-01-16 AM 12:55:57] 	error in: 566734 page_not_found
[20-01-16 AM 12:56:01] 	error in: 559939 page_not_found
[20-01-16 AM 12:56:03] 	error in: 565599 page_not_found
[20-01-16 AM 12:56:29] 	error in: 408163 page_not_found
[20-01-16 AM 12:56:29] 	error in: 408163 page_not_found
[20-01-16 AM 12:56:29] 	error in: 408175 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408175 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408156 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408156 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408156 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408179 page_not_found
[20-01-16 AM 12:56:30] 	error in: 408179 page_not_found
[20-01-16 AM 12:56:30] 	error in: 567650 page_not_found
[20-01-16 AM 12:56:30] 	error in: 567650 page_not_found
[20-01-16 AM 12:56:36] 	error in: 201344 page_not_found
[20-01-16 AM 12:56:36] 	error in: 201344 page_not_found
[20-01-16 AM 12:56:37] 	error in: 403311 page_not_found
[20-01-16 AM 12:56:37] 	error in: 403311 page_not_found
[20-01-16 AM 12:56:38] 	error in: 204456 page_not_found
[20-01-16 AM 12:56:38] 	error in: 204456 page_not_found
[20-01-16 AM 12:56:50] 	error in: 510914 page_not_found
[20-01-16 AM 12:57:54] 	error in: 566175 page_not_found
[20-01-16 AM 12:57:54] 	error in: 566175 page_not_found
[20-01-16 AM 12:57:55] 	error in: 500346 page_not_found
[20-01-16 AM 12:57:55] 	error in: 500346 page_not_found
[20-01-16 AM 12:57:55] 	error in: 500349 page_not_found
[20-01-16 AM 12:57:55] 	error in: 500349 page_not_found
[20-01-16 AM 12:58:24] 	error in: 567436 page_not_found
[20-01-16 AM 12:58:24] 	error in: 567436 page_not_found
[20-01-16 AM 12:59:00] 	error in: 567214 page_not_found
[20-01-16 AM 12:59:00] 	error in: 567214 page_not_found
[20-01-16 AM 12:59:37] 	error in: 562174 page_not_found
[20-01-16 AM 01:00:14] 	error in: 200450 page_not_found
[20-01-16 AM 01:00:15] 	error in: 200450 page_not_found
[20-01-16 AM 01:00:17] 	error in: 200453 page_not_found
[20-01-16 AM 01:00:23] 	error in: 200098 page_not_found
[20-01-16 AM 01:00:23] 	error in: 200098 page_not_found
[20-01-16 AM 01:00:32] 	error in: 200489 page_not_found
[20-01-16 AM 01:00:32] 	error in: 200489 page_not_found
[20-01-16 AM 01:00:45] 	error in: 200531 page_not_found
[20-01-16 AM 01:00:45] 	error in: 200531 page_not_found
[20-01-16 AM 01:00:48] 	error in: 101327 page_not_found
[20-01-16 AM 01:00:48] 	error in: 101327 page_not_found
[20-01-16 AM 01:00:48] 	error in: 205900 page_not_found
[20-01-16 AM 01:00:50] 	error in: 200532 page_not_found
[20-01-16 AM 01:00:51] 	error in: 200532 page_not_found
[20-01-16 AM 01:00:52] 	error in: 112960 page_not_found
[20-01-16 AM 01:01:25] 	error in: 213647 page_not_found
[20-01-16 AM 01:01:25] 	error in: 213647 page_not_found
[20-01-16 AM 01:01:26] 	error in: 567215 page_not_found
[20-01-16 AM 01:01:26] 	error in: 567215 page_not_found
[20-01-16 AM 01:01:58] 	error in: 204228 page_not_found
[20-01-16 AM 01:01:58] 	error in: 204228 page_not_found
[20-01-16 AM 01:02:01] 	error in: 206024 page_not_found
[20-01-16 AM 01:02:01] 	error in: 567525 page_not_found
[20-01-16 AM 01:02:02] 	error in: 567525 page_not_found
[20-01-16 AM 01:02:05] 	error in: 112998 page_not_found
[20-01-16 AM 01:02:05] 	error in: 112998 page_not_found
[20-01-16 AM 01:04:26] 	error in: 567526 page_not_found
[20-01-16 AM 01:04:26] 	error in: 567526 page_not_found
[20-01-16 AM 01:04:58] 	error in: 215278 page_not_found
[20-01-16 AM 01:04:58] 	error in: 215278 page_not_found
[20-01-16 AM 01:05:24] 	error in: 567273 page_not_found
[20-01-16 AM 01:05:24] 	error in: 567273 page_not_found
[20-01-16 AM 01:05:25] 	error in: 567842 page_not_found
[20-01-16 AM 01:05:25] 	error in: 567842 page_not_found
[20-01-16 AM 01:05:36] 	error in: 553288 page_not_found
[20-01-16 AM 01:05:36] 	error in: 553288 page_not_found
[20-01-16 AM 01:05:37] 	error in: 200052 page_not_found
[20-01-16 AM 01:05:37] 	error in: 200052 page_not_found
[20-01-16 AM 01:05:37] 	error in: 565546 page_not_found
[20-01-16 AM 01:05:37] 	error in: 565546 page_not_found
[20-01-16 AM 01:05:37] 	error in: 565547 page_not_found
[20-01-16 AM 01:05:37] 	error in: 565547 page_not_found
[20-01-16 AM 01:05:38] 	error in: 567749 page_not_found
[20-01-16 AM 01:05:38] 	error in: 567749 page_not_found
[20-01-16 AM 01:05:40] 	error in: 566241 page_not_found
[20-01-16 AM 01:05:48] 	error in: 567435 page_not_found
[20-01-16 AM 01:05:48] 	error in: 567435 page_not_found
[20-01-16 AM 01:05:49] 	error in: 202564 page_not_found
[20-01-16 AM 01:05:50] 	error in: 101439 page_not_found
[20-01-16 AM 01:05:50] 	error in: 101439 page_not_found
[20-01-16 AM 01:06:50] 	error in: 566730 page_not_found
[20-01-16 AM 01:06:50] 	error in: 566730 page_not_found
[20-01-16 AM 01:06:57] 	error in: 566804 page_not_found
[20-01-16 AM 01:06:57] 	error in: 566804 page_not_found
[20-01-16 AM 01:08:07] 	fatal error: KeyError in 518 category
[20-01-16 AM 01:08:07] 	fatal error: KeyError in 518 category
[20-01-16 AM 01:08:07] 	fatal error: KeyError in 518 category
[20-01-16 AM 01:08:10] rakuten_product_update_complete !!!
[20-01-16 AM 01:08:10] error list: [409165, 210800, 566016, 566016, 558863, 566031, 566031, 509223, 303526, 303526, 101817, 403762, 567433, 567433, 502462, 502462, 302123, 213891, 565251, 567432, 207030, 566733, 201652, 565031, 567218, 567218, 214668, 214668, 502046, 502046, 407942, 407942, 402512, 402512, 502051, 502051, 402486, 402486, 566694, 566694, 404237, 404237, 566736, 212988, 212988, 202952, 565247, 565247, 567168, 567168, 567751, 567751, 552375, 567167, 567219, 567219, 208287, 560313, 560313, 560312, 565054, 565005, 565006, 565006, 565008, 565008, 200143, 200143, 566807, 566807, 559934, 559934, 567677, 567677, 567679, 567679, 201514, 566805, 566734, 566734, 559939, 565599, 408163, 408163, 408175, 408175, 408156, 408156, 408156, 408179, 408179, 567650, 567650, 201344, 201344, 403311, 403311, 204456, 204456, 510914, 566175, 566175, 500346, 500346, 500349, 500349, 567436, 567436, 567214, 567214, 562174, 200450, 200450, 200453, 200098, 200098, 200489, 200489, 200531, 200531, 101327, 101327, 205900, 200532, 200532, 112960, 213647, 213647, 567215, 567215, 204228, 204228, 206024, 567525, 567525, 112998, 112998, 567526, 567526, 215278, 215278, 567273, 567273, 567842, 567842, 553288, 553288, 200052, 200052, 565546, 565546, 565547, 565547, 567749, 567749, 566241, 567435, 567435, 202564, 101439, 101439, 566730, 566730, 566804, 566804]
[20-01-16 AM 01:08:10] update_yahoo_products_start
[20-01-16 AM 01:09:04] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'gourmetcoffee_0403-20sa'}], 'Result': ''}}}
[20-01-16 AM 01:09:10] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'gourmetcoffee_0403-20sa'}], 'Result': ''}}}
[20-01-16 AM 01:09:12] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'gourmetcoffee_0403-20sa'}], 'Result': ''}}}
[20-01-16 AM 01:09:18] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'gourmetcoffee_0403-20sa'}], 'Result': ''}}}
[20-01-16 AM 01:23:59] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'and-plaza_m-persp-3c-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:00] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'nanairo716_perspirex-or-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:01] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'and-plaza_m-persp-com-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:04] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'nanairo716_perspirex-s-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:06] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'nanairo716_perspirex-or-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:08] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'and-plaza_m-persp-com-1'}], 'Result': ''}}}
[20-01-16 AM 01:24:10] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'nanairo716_perspirex-s-1'}], 'Result': ''}}}
[20-01-16 AM 01:27:22] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'edioncom_4981254047804'}], 'Result': ''}}}
[20-01-16 AM 01:27:27] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'edioncom_4981254047804'}], 'Result': ''}}}
[20-01-16 AM 01:30:31] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'edioncom_4549980094044'}], 'Result': ''}}}
[20-01-16 AM 01:30:37] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'edioncom_4549980094044'}], 'Result': ''}}}
[20-01-16 AM 01:43:00] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'healingvillage_stk-mgchan-0'}], 'Result': ''}}}
[20-01-16 AM 01:49:15] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'v-drug_0270030-4972547020901-1'}], 'Result': ''}}}
[20-01-16 AM 01:49:21] item_not_found {'ResultSet': {'totalResultsReturned': '0', 'firstResultPosition': '0', '0': {'Codes': [{'Code': 'v-drug_0270030-4972547020901-1'}], 'Result': ''}}}
[20-01-16 AM 02:03:27] update_amazon_products_start
[20-01-16 AM 02:03:59] update_amazon_products_start
